instance,instance_size,solver,time_mean,time_median,time_std,time_min,time_max,cost_best,cost_mean,cost_std,status_last,successful_runs,total_runs
burma14.tsp,14,concorde,0.026111046473185223,0.017371177673339844,0.013936870322373706,0.015181779861450195,0.045780181884765625,3323.0,3323.0,0.0,solved,3,3
burma14.tsp,14,LKH,0.007065614064534505,0.007111072540283203,0.002323973685010413,0.004196882247924805,0.009888887405395508,3323.0,3323.0,0.0,solved,3,3
ulysses16.tsp,16,concorde,0.045845746994018555,0.0457000732421875,0.0032419822620718425,0.04194998741149902,0.04988718032836914,6859.0,6859.0,0.0,solved,3,3
ulysses16.tsp,16,LKH,0.006053368250528972,0.005768537521362305,0.001905184206476518,0.0038754940032958984,0.008516073226928711,6859.0,6859.0,0.0,solved,3,3
gr17.tsp,17,concorde,0.02182594935099284,0.023350238800048828,0.0027295332213345407,0.017992496490478516,0.024135112762451172,2085.0,2085.0,0.0,solved,3,3
gr17.tsp,17,LKH,0.004038333892822266,0.004197835922241211,0.0002552914924231403,0.0036780834197998047,0.004239082336425781,2085.0,2085.0,0.0,solved,3,3
gr21.tsp,21,concorde,0.007858594258626303,0.007700443267822266,0.00033625469393346985,0.007549285888671875,0.008326053619384766,2707.0,2707.0,0.0,solved,3,3
gr21.tsp,21,LKH,0.004620949427286784,0.004704475402832031,0.00045943247132980517,0.004021167755126953,0.005137205123901367,2707.0,2707.0,0.0,solved,3,3
ulysses22.tsp,22,concorde,0.10384742418924968,0.10325455665588379,0.0016199260521693435,0.10222744941711426,0.10606026649475098,7013.0,7013.0,0.0,solved,3,3
ulysses22.tsp,22,LKH,0.009582281112670898,0.0073282718658447266,0.003398498567485765,0.007033109664916992,0.014385461807250977,7013.0,7013.0,0.0,solved,3,3
gr24.tsp,24,concorde,0.02318088213602702,0.025592803955078125,0.005651220455110186,0.01537632942199707,0.02857351303100586,1272.0,1272.0,0.0,solved,3,3
gr24.tsp,24,LKH,0.007424354553222656,0.007626533508300781,0.0003916386885656297,0.006876707077026367,0.00776982307434082,1272.0,1272.0,0.0,solved,3,3
fri26.tsp,26,concorde,0.01843563715616862,0.017042875289916992,0.0033020533797105895,0.015271902084350586,0.02299213409423828,937.0,937.0,0.0,solved,3,3
fri26.tsp,26,LKH,0.00950948397318522,0.009225130081176758,0.0018364419072978105,0.0074160099029541016,0.011887311935424805,937.0,937.0,0.0,solved,3,3
bayg29.tsp,29,concorde,0.023177544275919598,0.019494056701660156,0.00546749298476563,0.01913166046142578,0.03090691566467285,1610.0,1610.0,0.0,solved,3,3
bayg29.tsp,29,LKH,0.01315458615620931,0.010889053344726562,0.004201685446330098,0.009530067443847656,0.01904463768005371,1610.0,1610.0,0.0,solved,3,3
bays29.tsp,29,concorde,0.02769931157430013,0.02398228645324707,0.005270160081881281,0.023963212966918945,0.035152435302734375,2020.0,2020.0,0.0,solved,3,3
bays29.tsp,29,LKH,0.012962738672892252,0.01154470443725586,0.0033831994371206625,0.009714365005493164,0.017629146575927734,2020.0,2020.0,0.0,solved,3,3
swiss42.tsp,42,concorde,0.026981671651204426,0.02563166618347168,0.004214970425462973,0.0226285457611084,0.0326848030090332,1273.0,1273.0,0.0,solved,3,3
swiss42.tsp,42,LKH,0.016768455505371094,0.014252662658691406,0.004458850429990304,0.01301884651184082,0.023033857345581055,1273.0,1273.0,0.0,solved,3,3
gr48.tsp,48,concorde,0.08405725161234538,0.09228229522705078,0.013229433990269721,0.06539177894592285,0.0944976806640625,5046.0,5046.0,0.0,solved,3,3
gr48.tsp,48,LKH,0.037033796310424805,0.03899025917053223,0.005882200731097664,0.029053449630737305,0.04305768013000488,5046.0,5046.0,0.0,solved,3,3
hk48.tsp,48,concorde,0.041575113932291664,0.04101872444152832,0.0014774392401462658,0.04010915756225586,0.04359745979309082,11461.0,11461.0,0.0,solved,3,3
hk48.tsp,48,LKH,0.016431649525960285,0.016435861587524414,0.00012180122587536043,0.016280412673950195,0.01657867431640625,11461.0,11461.0,0.0,solved,3,3
eil51.tsp,51,concorde,0.06970540682474773,0.07015466690063477,0.002276046706621711,0.06672048568725586,0.07224106788635254,426.0,426.0,0.0,solved,3,3
eil51.tsp,51,LKH,0.027102947235107422,0.024747133255004883,0.003907898272679929,0.023951292037963867,0.032610416412353516,426.0,426.0,0.0,solved,3,3
berlin52.tsp,52,concorde,0.07167712847391765,0.07336139678955078,0.007668259805900778,0.06155729293823242,0.08011269569396973,7542.0,7542.0,0.0,solved,3,3
berlin52.tsp,52,LKH,0.014378706614176432,0.014579296112060547,0.0028993519804632268,0.010731697082519531,0.01782512664794922,7542.0,7542.0,0.0,solved,3,3
eil76.tsp,76,concorde,0.07415556907653809,0.07254242897033691,0.005208440362782788,0.06873798370361328,0.08118629455566406,538.0,538.0,0.0,solved,3,3
eil76.tsp,76,LKH,0.03672313690185547,0.036641597747802734,0.0008633331314018306,0.03570890426635742,0.03781890869140625,538.0,538.0,0.0,solved,3,3
rat99.tsp,99,concorde,0.14098223050435385,0.14208388328552246,0.002362987697266959,0.13769912719726562,0.14316368103027344,1211.0,1211.0,0.0,solved,3,3
rat99.tsp,99,LKH,0.05735445022583008,0.0554654598236084,0.0057918604173869985,0.05139660835266113,0.0652012825012207,1211.0,1211.0,0.0,solved,3,3
rd100.tsp,100,concorde,0.1395704746246338,0.14624929428100586,0.01232102427767151,0.12229347229003906,0.15016865730285645,7910.0,7910.0,0.0,solved,3,3
rd100.tsp,100,LKH,0.08409595489501953,0.08514904975891113,0.0076309033059321196,0.07426810264587402,0.09287071228027344,7910.0,7910.0,0.0,solved,3,3
